Project,full-name,URL,Description,Stars,Forks,Primary Language,Latest-commit-time,App,Cloud,Edge,Device,Target,Type,Primary Lan P/T Ratio,LOC,Primary Language LOC,CodeComplexity,Primary Lan #Test,Primary Lan TestLOC,Diff-Test-Language,Multi-Test-Language,PythonTestFile,PythonMockFile,PythonMockRate,PythonTestCases,PythonTestLOC,JSTestFile,JSMockFile,JSMockRate,JSTestCases,JSTestLOC,JavaTestFile,JavaMockFile,JavaMockRate,JavaTestCases,JavaTestLOC_w/o,JavaTestLOC_with,PJJTotalCases,PJJTotalCaseLOC,PJJTestFiles
Adafruit_IO_Python,adafruit/Adafruit_IO_Python,https://github.com/adafruit/Adafruit_IO_Python,Adafruit IO Python Client Library,201,90,Python,2022-03-10T19:53:02Z,1,0,1,1,App,Library,5.720698254,3330,2695,86,46,401,0,0,4,0,0,46,401,0,0,0,0,0,0,0,0,0,0,0,46,401,4
amazon-dash,Nekmo/amazon-dash,https://github.com/Nekmo/amazon-dash,Hack your Amazon Dash to run what you want.,755,67,Python,2022-05-18T22:18:43Z,0,0,1,0,Device,App,3.559322034,4949,2959,150,118,649,0,0,8,3,0.375,118,649,0,0,0,0,0,0,0,0,0,0,0,118,649,8
blynk-server,blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,"Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino, ESP8266, ESP32, Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes",50,42,Java,2022-06-09T09:20:58Z,1,1,0,0,Cloud,Server,20.21853282,60392,54956,4328,175,2590,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0.1568627451,175,2590,3409,175,2590,51
cylon,hybridgroup/cylon,https://github.com/hybridgroup/cylon,"JavaScript framework for robotics, drones, and the Internet of Things (IoT)",3.9k,376,JavaScript,2016-08-26T10:16:22Z,0,1,0,0,Device,Framework,3.186256781,6075,4630,298,226,1106,1,0,0,0,0,0,0,16,1,0.0625,226,1106,0,0,0,0,0,0,226,1106,16
devicehive-java-server,devicehive/devicehive-java-server,https://github.com/devicehive/devicehive-java-server,DeviceHive Java Server,277,106,Java,2018-05-25T11:39:49Z,0,1,0,0,App,Server,24.43495146,32153,26198,1826,51,1030,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.5,51,1030,1681,51,1030,6
ditto,eclipse/ditto,https://github.com/eclipse/ditto,Eclipse Ditto邃?: Digital Twin framework of Eclipse IoT. Some may alternatively name it digital shadow instead.,375,135,Java,2022-06-22T11:00:49Z,0,0,0,0,Cloud,Framework,3.437639185,488497,372633,14317,8432,83971,0,0,0,0,0,0,0,0,0,0,0,0,1213,172,0.141797197,8432,83971,125617,8432,83971,1213
entity-controller,danobot/entity-controller,https://github.com/danobot/entity-controller,"Entity and lighting controller for managing devices via timers, scripts, and sun-based time restrictions.",186,39,Python,2022-04-27T12:53:03Z,0,1,0,0,Device,Device,8.309734513,13851,4208,399,24,452,0,0,6,4,0.6666666667,24,452,0,0,0,0,0,0,0,0,0,0,0,24,452,6
freedomotic,freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,Open IoT Framework,373,492,Java,2022-04-06T16:21:39Z,1,1,0,0,App,Framework,42.32148377,92362,56058,5569,124,1294,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.05405405405,124,1294,2443,124,1294,37
Gladys,GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,"A privacy-first, open-source home assistant",2.1k,253,JavaScript,2022-06-20T20:25:55Z,1,1,0,0,App,App,2.21299403,167100,73735,2213,1422,22949,1,1,1,0,0,1,8,351,41,0.1168091168,1422,22949,0,0,0,0,0,0,1423,22957,352
Grow.js,JakeHartnell/Grow.js,https://github.com/JakeHartnell/Grow.js,Now a package in Grow-IoT,21,11,JavaScript,2017-09-03T19:59:58Z,0,1,0,0,Device,Package,10.96396396,8109,2656,180,33,222,0,0,0,0,0,0,0,3,0,0,33,222,0,0,0,0,0,0,33,222,3
Grow-IoT,CommonGarden/Grow-IoT,https://github.com/CommonGarden/Grow-IoT,Software packages for smart growing environments.,21,4,JavaScript,2018-08-30T18:24:20Z,1,1,0,0,Device,Package,31.06735751,33171,6189,479,27,193,0,0,0,0,0,0,0,3,0,0,27,193,0,0,0,0,0,0,27,193,3
HAP-python,ikalchev/HAP-python,https://github.com/ikalchev/HAP-python,A python implementation of the HomeKit Accessory Protocol (HAP),468,106,Python,2022-01-11T20:39:37Z,0,0,1,1,Device,Protocol,1.834140436,12829,9364,278,116,3304,0,0,16,0,0,116,3304,0,0,0,0,0,0,0,0,0,0,0,116,3304,16
hawkbit,eclipse/hawkbit,https://github.com/eclipse/hawkbit,Eclipse hawkBit邃?,330,154,Java,2022-06-10T16:28:59Z,0,0,0,0,Edge,Server,3.744342482,140405,114258,4692,1366,24083,0,0,0,0,0,0,0,0,0,0,0,0,143,28,0.1958041958,1366,24083,25263,1366,24083,143
home-assistant,home-assistant/core,https://github.com/home-assistant/home-assistant,Open source home automation that puts local control and privacy first.,53.5k,18.6k,Python,2022-06-23T21:35:10Z,1,1,0,0,App,App,1.822383055,1761443,1169906,65053,16428,414510,0,0,2199,748,0.3401546157,16428,414510,0,0,0,0,0,0,0,0,0,0,0,16428,414510,2199
hono,eclipse/hono,https://github.com/eclipse/hono,Eclipse Hono邃? Project,377,127,Java,2022-06-22T08:23:27Z,0,0,1,0,Cloud,App,4.123579886,150737,106883,5877,1320,20861,0,0,0,0,0,0,0,0,0,0,0,0,238,114,0.4789915966,1320,20861,20681,1320,20861,238
iotagent-json,telefonicaid/iotagent-json,https://github.com/telefonicaid/iotagent-json,"IoT Agent for a JSON based protocol (with HTTP, MQTT and AMQP transports)",36,75,JavaScript,2022-06-15T06:42:30Z,0,0,1,0,Edge,Agent,5.080548415,13346,7096,406,108,1167,0,0,0,0,0,0,0,20,15,0.75,108,1167,0,0,0,0,0,0,108,1167,20
iotagent-node-lib,telefonicaid/iotagent-node-lib,https://github.com/telefonicaid/iotagent-node-lib,Module to enable IoT Agent developers to build custom agents for their devices that can easily connect to NGSI Context Brokers,52,69,JavaScript,2022-06-23T09:19:21Z,0,0,1,0,Edge,Component,4.387532694,50287,37077,2140,715,6882,0,0,0,0,0,0,0,83,28,0.3373493976,715,6882,0,0,0,0,0,0,715,6882,83
iotagent-ul,telefonicaid/iotagent-ul,https://github.com/telefonicaid/iotagent-ul,"IoT Agent for a UltraLight 2.0 based protocol (with HTTP, MQTT and AMQP transports)",32,50,JavaScript,2022-06-15T06:40:38Z,0,0,1,0,Edge,Agent,4.774047187,10895,6363,401,124,1102,0,0,0,0,0,0,0,14,7,0.5,124,1102,0,0,0,0,0,0,124,1102,14
iotedgedev,Azure/iotedgedev,https://github.com/Azure/iotedgedev,The Azure IoT Edge Dev Tool greatly simplifies your Azure IoT Edge development process. It has everything you need to get started and helps with your day-to-day Edge development.,136,62,Python,2022-06-15T09:38:30Z,0,0,0,0,Edge,Other,3.855670103,10686,5181,538,126,1067,0,0,16,8,0.5,126,1067,0,0,0,0,0,0,0,0,0,0,0,126,1067,16
kapua,eclipse/kapua,https://github.com/eclipse/kapua,No description or website provided.,191,158,Java,2022-06-23T14:24:49Z,1,1,0,0,Edge,Platform,6.825087651,290587,200870,12641,2902,25670,0,0,0,0,0,0,0,0,0,0,0,0,379,111,0.2928759894,2902,25670,45542,2902,25670,379
kura,eclipse/kura,https://github.com/eclipse/kura,Eclipse Kura邃? project - http://eclipse.org/kura,419,290,Java,2022-06-20T09:46:44Z,0,0,1,0,App,App,5.26600074,351738,237118,26424,2671,37842,0,0,0,0,0,0,0,0,0,0,0,0,246,121,0.4918699187,2671,37842,48226,2671,37842,246
lightweightm2m-iotagent,telefonicaid/lightweightm2m-iotagent,https://github.com/telefonicaid/lightweightm2m-iotagent,IoT Agent accepting COAP requests. Designed to be a bridge between the OMA Lightweight M2M protocol and the NGSI interface.,22,30,JavaScript,2022-06-23T12:36:09Z,0,0,1,0,Edge,Agent,5.673295455,6533,2349,166,25,352,0,0,0,0,0,0,0,5,0,0,25,352,0,0,0,0,0,0,25,352,5
mcs-lite-app,MCS-Lite/mcs-lite-app,https://github.com/MCS-Lite/mcs-lite-app,"An on-premises Internet of Things cloud platform, which can be quickly built and get started with.",29,15,JavaScript,2018-05-17T05:35:19Z,1,1,0,0,Cloud,Platform,22.02763158,29022,17501,758,68,760,0,0,0,0,0,0,0,21,0,0,68,760,0,0,0,0,0,0,68,760,21
openhab-core,openhab/openhab-core,https://github.com/openhab/openhab-core,Core framework of openHAB,676,343,Java,2022-06-22T20:38:48Z,1,1,0,0,App,Framework,4.660316188,180011,155387,15509,2151,27452,0,0,0,0,0,0,0,0,0,0,0,0,307,129,0.4201954397,2151,27452,27470,2151,27452,307
particle-cli,particle-iot/particle-cli,https://github.com/particle-iot/particle-cli,Command Line Interface for Particle Cloud and devices,213,94,JavaScript,2022-06-08T01:35:53Z,1,0,0,0,Edge,App,4.415878144,37045,23467,1877,752,4333,0,0,0,0,0,0,0,71,5,0.07042253521,752,4333,0,0,0,0,0,0,752,4333,71
pytradfri,home-assistant-libs/pytradfri,https://github.com/ggravlingen/pytradfri,IKEA Tr??dfri/Tradfri API. Control and observe your lights from Python. Examples available. On pypi. Sans-io.,867,131,Python,2022-06-23T19:12:45Z,0,1,0,0,App,Library,9.380851064,5446,4879,244,72,470,0,0,15,1,0.06666666667,72,470,0,0,0,0,0,0,0,0,0,0,0,72,470,15
sitewhere,sitewhere/sitewhere,https://github.com/sitewhere/sitewhere,"SiteWhere is an industrial strength open-source application enablement platform for the Internet of Things (IoT). It provides a multi-tenant microservice-based infrastructure that includes device/asset management, data ingestion, big-data storage, and integration through a modern, scalable architecture. SiteWhere provides REST APIs for all system functionality. SiteWhere provides SDKs for many common device platforms including Android, iOS, Arduino, and any Java-capable platform such as Raspberry Pi rapidly accelerating the speed of innovation.",892,370,Java,2021-03-23T20:20:57Z,1,1,0,0,App,Platform,368.3714286,40895,38784,2288,13,105,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,105,105,13,105,3
smarthome,smarthomeNG/smarthome,https://github.com/smarthomeNG/smarthome,Device integration platform for your smart home,102,89,Java,2022-05-02T11:09:00Z,1,1,0,0,App,Platform,7.219035447,298497,218651,25615,2126,26603,1,1,0,0,0,0,0,9,0,0,111,845,341,145,0.4252199413,2126,26603,57000,2237,27448,350
synse-server,vapor-ware/synse-server,https://github.com/vapor-ware/synse-server,An HTTP API for monitoring and controlling physical and virtual devices,34,10,Python,2022-05-10T18:13:39Z,0,0,1,0,Device,Api,0.8324691579,14440,10249,345,348,5593,0,0,23,6,0.2608695652,348,5593,0,0,0,0,0,0,0,0,0,0,0,348,5593,23
thingsboard,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",11.9k,3.8k,Java,2022-06-21T14:18:45Z,1,1,0,0,Cloud,Platform,7.19510847,396519,177924,14980,1149,21711,1,1,9,0,0,86,1362,0,0,0,0,0,188,48,0.2553191489,1149,21711,34457,1235,23073,197
tuyapi,codetheweb/tuyapi,https://github.com/codetheweb/tuyapi,県 An easy-to-use API for devices that use Tuya's cloud services. Documentation: https://codetheweb.github.io/tuyapi.,1.5k,273,JavaScript,2022-06-22T02:40:04Z,0,1,0,0,Device,Api,8.066666667,33768,2040,204,26,225,0,0,0,0,0,0,0,4,0,0,26,225,0,0,0,0,0,0,26,225,4
yoda.js,yodaos-project/yoda.js,https://github.com/yodaos-project/yoda.js,Application Framework that powered YodaOS,184,48,JavaScript,2019-10-21T04:22:26Z,0,1,0,0,App,Framework,2.550860197,32571,21259,2502,341,5987,0,0,0,0,0,0,0,102,39,0.3823529412,341,5987,0,0,0,0,0,0,341,5987,102
Zwave2Mqtt,OpenZWave/Zwave2Mqtt,https://github.com/OpenZWave/Zwave2Mqtt,Fully configurable Zwave to MQTT gateway and Control Panel using NodeJS and Vue,346,96,JavaScript,2021-02-24T07:41:55Z,0,0,1,0,Edge,Edge,9.590017825,34497,5941,605,89,561,0,0,0,0,0,0,0,9,1,0.1111111111,89,561,0,0,0,0,0,0,89,561,9