Project,full-name,URL,Description,Stars,Forks,Primary Language,Latest-commit-time,App,Cloud,Edge,Device,Target,Type,LOC,Primary Language LOC,CodeComplexity,Diff-Test-Language,Multi-Test-Language,PythonTestFile,PythonMockFile,PythonMockRate,PythonTestCases,PythonTestLOC,JSTestFile,JSMockFile,JSMockRate,JSTestCases,JSTestLOC,JavaTestFile,JavaMockFile,JavaMockRate,JavaTestCases,JavaTestLOC_w/o,JavaTestLOC_with,PJJTotalCases,PJJTotalCaseLOC,Density,PJJTestFiles
blynk-server,blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,"Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino, ESP8266, ESP32, Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes",50,42,Java,2022-06-09T09:20:58Z,1,1,0,0,Cloud,Server,60392,54956,4328,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0.1568627451,175,2590,3409,175,2590,22.31737452,51
domoticz,domoticz/domoticz,https://github.com/domoticz/domoticz,Open source Home Automation System,3.1k,1.1k,C,2022-06-13T15:48:29Z,1,1,0,0,App,App,420045,9665,35449,1,1,2,0,0,7,15,1,1,1,1,121,0,0,0,0,0,0,8,136,3087.566176,3
freedomotic,freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,Open IoT Framework,373,492,Java,2022-04-06T16:21:39Z,1,1,0,0,App,Framework,92362,56058,5569,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.05405405405,124,1294,2443,124,1294,70.37712519,37
Gladys,GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,"A privacy-first, open-source home assistant",2.1k,253,JavaScript,2022-06-20T20:25:55Z,1,1,0,0,App,App,167100,73735,2213,1,1,1,0,0,1,8,351,41,0.1168091168,1422,22949,0,0,0,0,0,0,1423,22957,6.278825631,352
Grow-IoT,CommonGarden/Grow-IoT,https://github.com/CommonGarden/Grow-IoT,Software packages for smart growing environments.,21,4,JavaScript,2018-08-30T18:24:20Z,1,1,0,0,Device,Package,33171,6189,479,0,0,0,0,0,0,0,3,0,0,27,193,0,0,0,0,0,0,27,193,170.8704663,3
home-assistant,home-assistant/core,https://github.com/home-assistant/home-assistant,Open source home automation that puts local control and privacy first.,53.5k,18.6k,Python,2022-06-23T21:35:10Z,1,1,0,0,App,App,1761443,1169906,65053,0,0,2199,748,0.3401546157,16428,414510,0,0,0,0,0,0,0,0,0,0,0,16428,414510,3.249458397,2199
kapua,eclipse/kapua,https://github.com/eclipse/kapua,No description or website provided.,191,158,Java,2022-06-23T14:24:49Z,1,1,0,0,Edge,Platform,290587,200870,12641,0,0,0,0,0,0,0,0,0,0,0,0,379,111,0.2928759894,2902,25670,45542,2902,25670,10.32010129,379
mcs-lite-app,MCS-Lite/mcs-lite-app,https://github.com/MCS-Lite/mcs-lite-app,"An on-premises Internet of Things cloud platform, which can be quickly built and get started with.",29,15,JavaScript,2018-05-17T05:35:19Z,1,1,0,0,Cloud,Platform,29022,17501,758,0,0,0,0,0,0,0,21,0,0,68,760,0,0,0,0,0,0,68,760,37.18684211,21
openhab-core,openhab/openhab-core,https://github.com/openhab/openhab-core,Core framework of openHAB,676,343,Java,2022-06-22T20:38:48Z,1,1,0,0,App,Framework,180011,155387,15509,0,0,0,0,0,0,0,0,0,0,0,0,307,129,0.4201954397,2151,27452,27470,2151,27452,5.557300015,307
sitewhere,sitewhere/sitewhere,https://github.com/sitewhere/sitewhere,"SiteWhere is an industrial strength open-source application enablement platform for the Internet of Things (IoT). It provides a multi-tenant microservice-based infrastructure that includes device/asset management, data ingestion, big-data storage, and integration through a modern, scalable architecture. SiteWhere provides REST APIs for all system functionality. SiteWhere provides SDKs for many common device platforms including Android, iOS, Arduino, and any Java-capable platform such as Raspberry Pi rapidly accelerating the speed of innovation.",892,370,Java,2021-03-23T20:20:57Z,1,1,0,0,App,Platform,40895,38784,2288,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,105,105,13,105,388.4761905,3
smarthome,smarthomeNG/smarthome,https://github.com/smarthomeNG/smarthome,Device integration platform for your smart home,102,89,Java,2022-05-02T11:09:00Z,1,1,0,0,App,Platform,298497,218651,25615,1,1,0,0,0,0,0,9,0,0,111,845,341,145,0.4252199413,2126,26603,57000,2237,27448,9.875,350
thingsboard,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",11.9k,3.8k,Java,2022-06-21T14:18:45Z,1,1,0,0,Cloud,Platform,396519,177924,14980,1,1,9,0,0,86,1362,0,0,0,0,0,188,48,0.2553191489,1149,21711,34457,1235,23073,16.18541152,197